version,timestamp_iso,N,ticks,orders,trades,duration_seconds,ticks_per_sec,orders_per_sec
baseline_string_symbol,2026-03-02 10:04:34,100000,800000,400000,400000,0.078367,10208430.63,5104215.32
baseline_string_symbol,2026-03-02 10:04:36,100000,800000,400000,400000,0.062347,12831493.62,6415746.81
baseline_string_symbol,2026-03-02 10:04:37,100000,800000,400000,400000,0.066142,12095170.85,6047585.43
baseline_string_symbol,2026-03-02 10:18:29,100000,800000,400000,400000,0.089874,8901330.97,4450665.49
baseline_string_symbol,2026-03-02 10:18:30,100000,800000,400000,400000,0.064799,12345831.43,6172915.72
baseline_string_symbol,2026-03-02 10:18:38,100000,800000,400000,400000,0.064901,12326542.44,6163271.22
baseline_string_symbol,2026-03-02 10:18:39,100000,800000,400000,400000,0.073366,10904293.02,5452146.51
baseline_string_symbol,2026-03-02 10:18:41,100000,800000,400000,400000,0.066121,12098939.07,6049469.54
baseline_string_symbol,2026-03-02 10:18:47,100000,800000,400000,400000,0.062575,12784760.57,6392380.28
baseline_string_symbol,2026-03-02 10:18:48,100000,800000,400000,400000,0.063821,12534980.43,6267490.21
baseline_string_symbol,2026-03-02 10:19:20,1000000,8000000,4000000,4000000,0.668772,11962228.66,5981114.33
baseline_string_symbol,2026-03-02 10:19:23,1000000,8000000,4000000,4000000,0.643069,12440340.79,6220170.40
baseline_string_symbol,2026-03-02 10:19:40,1000000,8000000,4000000,4000000,0.665137,12027593.71,6013796.85
baseline_string_symbol,2026-03-02 10:19:45,1000000,8000000,4000000,4000000,0.634659,12605200.24,6302600.12
baseline_string_symbol,2026-03-02 10:19:46,1000000,8000000,4000000,4000000,0.637646,12546150.23,6273075.11
baseline_string_symbol,2026-03-02 10:19:47,1000000,8000000,4000000,4000000,0.656287,12189792.63,6094896.32
baseline_string_symbol,2026-03-02 10:19:49,1000000,8000000,4000000,4000000,0.647267,12359650.38,6179825.19
baseline_string_symbol,2026-03-02 10:30:59,1000000,8000000,4000000,4000000,0.659727,12126233.48,6063116.74
opt_symbol_id_v1,2026-03-02 10:51:20,1000000,8000000,4000000,4000000,0.469036,17056245.53,8528122.76
opt_symbol_id_v1,2026-03-02 10:51:22,1000000,8000000,4000000,4000000,0.501851,15940989.64,7970494.82
opt_symbol_id_v1,2026-03-02 10:51:23,1000000,8000000,4000000,4000000,0.452730,17670587.99,8835294.00
opt_symbol_id_v1,2026-03-02 10:51:24,1000000,8000000,4000000,4000000,0.438251,18254391.84,9127195.92
opt_symbol_id_v1,2026-03-02 10:51:25,1000000,8000000,4000000,4000000,0.420061,19044843.94,9522421.97
opt_symbol_id_v1,2026-03-02 10:51:26,1000000,8000000,4000000,4000000,0.436058,18346200.14,9173100.07
opt_symbol_id_v1,2026-03-02 10:51:27,1000000,8000000,4000000,4000000,0.437869,18270287.90,9135143.95
opt_symbol_id_v1,2026-03-02 10:51:28,1000000,8000000,4000000,4000000,0.429231,18637978.47,9318989.23
opt_symbol_id_v1,2026-03-02 10:51:29,1000000,8000000,4000000,4000000,0.437171,18299458.75,9149729.37
opt_symbol_id_v2_symbol_table,2026-03-02 11:31:51,1000000,8000000,4000000,4000000,0.497063,16094542.56,8047271.28
opt_symbol_id_v2_symbol_table,2026-03-02 11:31:53,1000000,8000000,4000000,4000000,0.445239,17967877.93,8983938.96
opt_symbol_id_v2_symbol_table,2026-03-02 11:31:55,1000000,8000000,4000000,4000000,0.460758,17362704.95,8681352.48
opt_symbol_id_v2_symbol_table,2026-03-02 11:31:56,1000000,8000000,4000000,4000000,0.450237,17768403.96,8884201.98
opt_symbol_id_v2_symbol_table,2026-03-02 11:31:57,1000000,8000000,4000000,4000000,0.447847,17863235.50,8931617.75
opt_symbol_id_v2_symbol_table,2026-03-02 11:31:58,1000000,8000000,4000000,4000000,0.447283,17885780.07,8942890.03
opt_symbol_id_v2_symbol_table,2026-03-02 11:32:02,1000000,8000000,4000000,4000000,0.452572,17676753.17,8838376.58
opt_symbol_id_v2_symbol_table,2026-03-02 11:32:03,1000000,8000000,4000000,4000000,0.442463,18080599.70,9040299.85
opt_symbol_id_v2_symbol_table,2026-03-02 11:32:04,1000000,8000000,4000000,4000000,0.461446,17336825.26,8668412.63
opt_symbol_id_v2_symbol_table,2026-03-02 11:32:05,1000000,8000000,4000000,4000000,0.471446,16969087.63,8484543.81
